luka doncic,DAL,pg,11500,65.5,17.8
giannis antetokounmpo,MIL,pf,11900,63.3,6.4
shai gilgeous alexander,OKC,pg,10500,57.2,12.8
tyrese haliburton,IND,pg,10200,56.1,16.8
trae young,ATL,pg,10300,55.6,7.5
donovan mitchell,CLE,pg,9500,54.2,37.2
scottie barnes,TOR,pg,9000,48.7,12.3
anthony edwards,MIN,pg,9100,47.5,7.3
ja morant,MEM,pg,9800,47.0,4.0
devin booker,PHO,pg,9400,46.5,7.9
julius randle,NY,pf,8900,46.5,8.5
jalen brunson,NY,pg,8900,44.3,7.1
james harden,LAC,pg,8700,44.3,2.4
cade cunningham,DET,pg,8500,44.0,8.0
jarrett allen,CLE,c,7800,43.3,19.4
alperen sengun,HOU,c,8900,42.9,8.8
kyrie irving,DAL,pg,8300,42.1,3.6
lauri markkanen,UTA,sf,8100,41.5,9.3
damian lillard,MIL,pg,8800,41.5,6.1
andre drummond,CHI,c,8400,41.3,4.7
chet holmgren,OKC,c,8000,40.9,3.4
pascal siakam,TOR,pf,8200,40.8,6.2
desmond bane,MEM,sg,8500,39.6,4.4
karl anthony towns,MIN,pf,7800,39.2,6.4
jalen duren,DET,c,6900,38.0,8.4
fred vanvleet,HOU,pg,8100,38.0,6.0
demar derozan,CHI,sf,8600,38.0,3.8
dejounte murray,ATL,pg,7700,37.8,5.0
anfernee simons,POR,pg,8300,37.7,4.0
paul george,LAC,sg,8300,37.6,2.4
kyle kuzma,WAS,pf,7900,37.0,7.9
jusuf nurkic,PHO,c,7600,36.8,3.5
brandon ingram,NO,sg,8300,36.7,2.2
rudy gobert,MIN,c,7200,36.3,10.9
khris middleton,MIL,sg,7300,35.6,12.6
jaren jackson jr,MEM,pf,7500,35.3,4.9
jerami grant,POR,pf,7300,35.2,6.3
cj mccollum,NO,pg,7400,35.0,1.9
myles turner,IND,c,7000,34.5,7.9
bradley beal,PHO,pg,6900,34.4,12.9
jalen johnson,ATL,pf,6300,34.3,30.6
mikal bridges,BKN,sg,7200,34.0,8.7
clint capela,ATL,c,6400,33.7,6.4
zion williamson,NO,pf,7800,33.6,1.8
malcolm brogdon,POR,pg,7800,33.5,0.5
nic claxton,BKN,c,7300,33.5,4.2
coby white,CHI,pg,7600,33.3,4.6
jordan clarkson,UTA,sg,6000,32.9,17.0
max strus,CLE,sg,6500,32.7,15.0
caris levert,CLE,sg,6400,32.4,8.6
jalen williams,OKC,sf,7300,32.1,0.5
bojan bogdanovic,DET,sf,6300,31.9,17.5
jakob poeltl,TOR,c,6100,30.9,9.0
jalen green,HOU,sg,7000,30.5,4.8
collin sexton,UTA,pg,6200,29.8,4.9
spencer dinwiddie,BKN,pg,6900,29.8,2.9
og anunoby,NY,sf,5600,29.7,29.3
jaden ivey,DET,pg,6000,29.5,5.5
immanuel quickley,TOR,pg,6400,29.3,5.1
daniel gafford,WAS,c,6200,29.3,3.0
tyus jones,WAS,pg,6100,29.3,6.4
rj barrett,TOR,sg,6300,29.1,2.5
jabari smith jr,HOU,pf,6800,29.0,3.3
josh giddey,OKC,pg,5900,28.8,18.3
brook lopez,MIL,c,6000,28.8,12.9
bogdan bogdanovic,ATL,sg,6600,28.3,3.0
jonas valanciunas,NO,c,6500,28.1,1.5
jordan poole,WAS,pg,6400,28.0,2.0
isaiah hartenstein,NY,c,5900,28.0,11.6
tim hardaway jr,DAL,sg,6100,27.8,1.1
deni avdija,WAS,sf,5900,27.8,7.6
walker kessler,UTA,c,5400,27.4,14.0
saddiq bey,ATL,pf,5900,27.3,3.4
cameron johnson,BKN,pf,6400,27.0,4.3
mike conley,MIN,pg,5800,26.9,6.2
marcus smart,MEM,pg,6200,26.6,1.7
ivica zubac,LAC,c,6300,26.3,2.6
dereck lively ii,DAL,c,5500,26.0,9.3
grayson allen,PHO,sg,6000,25.1,2.5
kelly olynyk,UTA,c,5200,25.0,0.5
bobby portis,MIL,pf,5700,24.9,5.0
alex caruso,CHI,sg,5500,24.8,6.1
dennis schroder,TOR,pg,6000,24.6,2.5
keyonte george,UTA,pg,5700,24.5,6.6
bennedict mathurin,IND,sg,5500,24.5,0.3
luguentz dort,OKC,sf,5000,24.3,9.3
john collins,UTA,pf,5300,24.3,1.9
donte divincenzo,NY,sg,5100,24.1,16.1
scoot henderson,POR,pg,6300,23.8,0.1
simone fontecchio,UTA,sf,5100,23.8,0.9
chimezie metu,PHO,pf,5100,23.5,10.7
russell westbrook,LAC,pg,6000,23.3,0.5
aaron nesmith,IND,sf,5600,23.0,3.9
patrick williams,CHI,sf,5400,23.0,8.6
isaac okoro,CLE,sf,5000,22.7,7.2
onyeka okongwu,ATL,pf,5300,22.1,4.5
derrick jones jr,DAL,sf,5200,22.0,5.2
josh hart,NY,sf,5400,21.9,1.4
gary trent jr,TOR,pg,5400,21.6,0.4
malik beasley,MIL,sg,5000,21.5,6.3
obi toppin,IND,pf,4600,21.5,1.8
cam thomas,BKN,sg,6100,21.3,3.6
jaden hardy,DAL,pg,4700,21.3,1.9
buddy hield,IND,sg,5700,20.6,1.4
dorian finney smith,BKN,pf,4900,20.5,0.9
ayo dosunmu,CHI,pg,4900,20.4,8.2
kris dunn,UTA,pg,4700,20.0,5.9
jaden mcdaniels,MIN,sf,4700,20.0,8.0
norman powell,LAC,sg,5000,19.9,3.0
eric gordon,PHO,sg,5500,19.8,0.4
santi aldama,MEM,pf,4200,19.8,36.8
dayron sharpe,BKN,c,4800,19.7,6.7
alec burks,DET,sg,4300,19.7,17.3
jalen smith,IND,pf,5400,19.6,3.6
naz reid,MIN,pf,5200,19.4,3.9
kyle anderson,MIN,sf,4600,19.3,4.7
jabari walker,POR,pf,5400,19.2,0.1
shaedon sharpe,POR,sg,6000,19.2,0.1
herbert jones,NO,sf,5500,18.7,3.8
luke kennard,MEM,sg,4400,18.6,2.5
kevin knox ii,DET,pf,4200,18.5,9.2
jaesean tate,HOU,sg,4500,18.0,5.3
bismack biyombo,MEM,c,3800,17.5,33.7
grant williams,DAL,pf,4300,17.3,1.1
dean wade,CLE,pf,4400,17.1,1.8
dennis smith jr,BKN,pg,4400,17.0,4.3
corey kispert,WAS,sf,4700,16.8,2.6
georges niang,CLE,sf,3600,16.5,3.2
delon wright,WAS,pg,3900,16.3,1.7
bilal coulibaly,WAS,sg,5200,16.2,0.1
sam merrill,CLE,sg,3400,16.2,20.1
royce oneale,BKN,sf,4300,16.1,1.1
larry nance jr,NO,c,4500,15.8,0.5
amen thompson,HOU,pg,4100,15.5,2.1
andrew nembhard,IND,pg,5300,15.5,0.2
isaiah jackson,IND,c,3800,15.2,3.2
pat connaughton,MIL,sf,3900,14.5,4.9
josh green,DAL,sf,4000,14.5,1.2
terance mann,LAC,pg,3800,14.4,1.1
precious achiuwa,NY,pf,3600,14.4,10.9
tristan thompson,CLE,c,3200,14.3,10.4
cameron payne,MIL,pg,3400,14.0,1.0
toumani camara,POR,sf,4800,13.8,0.1
isaiah joe,OKC,sg,4000,13.8,1.0
nickeil alexander walker,MIN,sg,3500,13.6,10.6
ausar thompson,DET,sf,4100,13.5,1.9
aaron holiday,HOU,pg,3700,13.2,0.6
jose alvarado,NO,pg,3900,13.0,1.7
quentin grimes,NY,sg,3100,13.0,9.7
cason wallace,OKC,pg,3800,12.7,0.5
dwight powell,DAL,c,3500,12.5,0.3
kenrich williams,OKC,pf,3700,12.5,0.7
chris boucher,TOR,pf,3700,12.3,0.4
daniel theis,LAC,c,3500,12.2,0.6
moses brown,POR,c,4000,11.9,1.1
naji marshall,NO,pf,4300,11.8,1.0
james wiseman,DET,c,3800,11.8,0.4
jevon carter,CHI,pg,3500,11.5,2.7
matisse thybulle,POR,sg,4500,11.5,0.3
ochai agbaji,UTA,sg,3300,11.5,0.7
landry shamet,WAS,sg,3600,10.4,0.2
dalen terry,CHI,pf,3300,10.0,1.0
aaron wiggins,OKC,pf,3500,9.9,0.4
killian hayes,DET,pg,3900,9.8,0.2
dyson daniels,NO,pg,3800,9.5,0.1
josh okogie,PHO,sf,4400,9.5,1.7
isaiah livers,DET,sf,3300,9.0,0.5
amir coffey,LAC,sf,3400,9.0,1.7
craig porter jr,CLE,pg,5000,8.6,0.1
vasilije micic,OKC,pg,3000,8.6,0.3
jaylin williams,OKC,c,3600,8.0,0.1
jeff green,HOU,pf,4000,7.7,0.4
terry taylor,CHI,c,3900,6.5,0.4
xavier tillman,MEM,c,4100,6.3,2.7
thaddeus young,TOR,pf,3000,3.0,None
jordan goodwin,PHO,pg,3700,2.8,None
troy brown jr,MIN,sg,3100,2.8,None
ish wainright,POR,pf,3200,2.5,None
udoka azubuike,PHO,c,3400,2.5,None
brandon boston jr,LAC,sg,3200,2.1,None
cam whitmore,HOU,sf,3500,2.1,None
jock landale,HOU,c,3100,2.0,None
jalen mcdaniels,TOR,sf,3300,1.5,None
nikola vucevic,CHI,c,7900,0.0,None
kevin durant,PHO,pf,10100,0.0,None
derrick rose,MEM,pg,4300,0.0,None
isaiah stewart,DET,pf,5300,0.0,None
vince williams jr,MEM,sf,4300,0.0,None
darius garland,CLE,pg,7700,0.0,None
deandre hunter,ATL,sf,5600,0.0,None
deandre ayton,POR,c,6800,0.0,None
evan mobley,CLE,pf,7500,0.0,None
dillon brooks,HOU,sg,5600,0.0,None
dante exum,DAL,pg,6000,0.0,None
tari eason,HOU,sf,6200,0.0,None
