Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40259438),Jonathan Taylor,40259438,RB/FLEX,8000,LV@IND 10/05/2025 01:00PM ET,IND,23.92
QB,Josh Allen (40259219),Josh Allen,40259219,QB,8000,NE@BUF 10/05/2025 08:20PM ET,BUF,25.62
WR,Amon-Ra St. Brown (40259582),Amon-Ra St. Brown,40259582,WR/FLEX,7900,DET@CIN 10/05/2025 04:25PM ET,DET,24.35
WR,Ja'Marr Chase (40259490),Ja'Marr Chase,40259490,WR/FLEX,7800,DET@CIN 10/05/2025 04:25PM ET,CIN,15.32
RB,Jahmyr Gibbs (40259808),Jahmyr Gibbs,40259808,RB/FLEX,7700,DET@CIN 10/05/2025 04:25PM ET,DET,19.75
WR,CeeDee Lamb (40259422),CeeDee Lamb,40259422,WR/FLEX,7600,DAL@NYJ 10/05/2025 01:00PM ET,DAL,14.73
RB,Saquon Barkley (40259250),Saquon Barkley,40259250,RB/FLEX,7500,DEN@PHI 10/05/2025 01:00PM ET,PHI,15.68
RB,James Cook III (40259615),James Cook III,40259615,RB/FLEX,7400,NE@BUF 10/05/2025 08:20PM ET,BUF,25
QB,Lamar Jackson (40259224),Lamar Jackson,40259224,QB,7300,HOU@BAL 10/05/2025 01:00PM ET,BAL,23.84
RB,De'Von Achane (40259918),De'Von Achane,40259918,RB/FLEX,7300,MIA@CAR 10/05/2025 01:00PM ET,MIA,18.98
RB,Bucky Irving (40260000),Bucky Irving,40260000,RB/FLEX,7200,TB@SEA 10/05/2025 04:05PM ET,TB,19
WR,Jaxon Smith-Njigba (40259804),Jaxon Smith-Njigba,40259804,WR/FLEX,7100,TB@SEA 10/05/2025 04:05PM ET,SEA,19.58
RB,Derrick Henry (40259108),Derrick Henry,40259108,RB/FLEX,7000,HOU@BAL 10/05/2025 01:00PM ET,BAL,13.75
QB,Jayden Daniels (40259627),Jayden Daniels,40259627,QB,7000,WAS@LAC 10/05/2025 04:25PM ET,WAS,19.91
WR,Emeka Egbuka (40259993),Emeka Egbuka,40259993,WR/FLEX,6900,TB@SEA 10/05/2025 04:05PM ET,TB,18.52
WR,Nico Collins (40259452),Nico Collins,40259452,WR/FLEX,6800,HOU@BAL 10/05/2025 01:00PM ET,HOU,14.5
QB,Jalen Hurts (40259287),Jalen Hurts,40259287,QB,6800,DEN@PHI 10/05/2025 01:00PM ET,PHI,21.32
RB,Ashton Jeanty (40260064),Ashton Jeanty,40260064,RB/FLEX,6700,LV@IND 10/05/2025 01:00PM ET,LV,15.8
WR,George Pickens (40259699),George Pickens,40259699,WR/FLEX,6600,DAL@NYJ 10/05/2025 01:00PM ET,DAL,19.5
QB,Patrick Mahomes (40259198),Patrick Mahomes,40259198,QB,6600,KC@JAX 10/06/2025 08:15PM ET,KC,22.39
WR,Mike Evans (40259064),Mike Evans,40259064,WR/FLEX,6500,TB@SEA 10/05/2025 04:05PM ET,TB,11.33
QB,Jared Goff (40259106),Jared Goff,40259106,QB,6500,DET@CIN 10/05/2025 04:25PM ET,DET,18.82
RB,Omarion Hampton (40260086),Omarion Hampton,40260086,RB/FLEX,6500,WAS@LAC 10/05/2025 04:25PM ET,LAC,16.75
WR,Tyreek Hill (40259158),Tyreek Hill,40259158,WR/FLEX,6400,MIA@CAR 10/05/2025 01:00PM ET,MIA,14.12
QB,Baker Mayfield (40259126),Baker Mayfield,40259126,QB,6300,TB@SEA 10/05/2025 04:05PM ET,TB,20.02
RB,Kenneth Walker III (40259650),Kenneth Walker III,40259650,RB/FLEX,6300,TB@SEA 10/05/2025 04:05PM ET,SEA,14.3
WR,Deebo Samuel Sr. (40259172),Deebo Samuel Sr.,40259172,WR/FLEX,6300,WAS@LAC 10/05/2025 04:25PM ET,WAS,16.25
WR,Zay Flowers (40259736),Zay Flowers,40259736,WR/FLEX,6200,HOU@BAL 10/05/2025 01:00PM ET,BAL,15.92
RB,Javonte Williams (40259470),Javonte Williams,40259470,RB/FLEX,6200,DAL@NYJ 10/05/2025 01:00PM ET,DAL,19.4
WR,Garrett Wilson (40259664),Garrett Wilson,40259664,WR/FLEX,6100,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,19.02
RB,Chase Brown (40259551),Chase Brown,40259551,RB/FLEX,6100,DET@CIN 10/05/2025 04:25PM ET,CIN,9.42
QB,Justin Herbert (40259270),Justin Herbert,40259270,QB,6100,WAS@LAC 10/05/2025 04:25PM ET,LAC,20.96
WR,Brian Thomas Jr. (40259957),Brian Thomas Jr.,40259957,WR/FLEX,6100,KC@JAX 10/06/2025 08:15PM ET,JAX,9
RB,Cam Skattebo (40259941),Cam Skattebo,40259941,RB/FLEX,6000,NYG@NO 10/05/2025 01:00PM ET,NYG,13.48
QB,Dak Prescott (40259061),Dak Prescott,40259061,QB,6000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,20.49
WR,Courtland Sutton (40259196),Courtland Sutton,40259196,WR/FLEX,6000,DEN@PHI 10/05/2025 01:00PM ET,DEN,16.4
WR,A.J. Brown (40259332),A.J. Brown,40259332,WR/FLEX,6000,DEN@PHI 10/05/2025 01:00PM ET,PHI,9.52
QB,Drake Maye (40259976),Drake Maye,40259976,QB,6000,NE@BUF 10/05/2025 08:20PM ET,NE,21.88
RB,Alvin Kamara (40259132),Alvin Kamara,40259132,RB/FLEX,5900,NYG@NO 10/05/2025 01:00PM ET,NO,12.12
QB,Kyler Murray (40259230),Kyler Murray,40259230,QB,5900,TEN@ARI 10/05/2025 04:05PM ET,ARI,16.37
WR,Chris Godwin Jr. (40259170),Chris Godwin Jr.,40259170,WR/FLEX,5900,TB@SEA 10/05/2025 04:05PM ET,TB,5.6
WR,Tee Higgins (40259373),Tee Higgins,40259373,WR/FLEX,5900,DET@CIN 10/05/2025 04:25PM ET,CIN,7.4
RB,Travis Etienne Jr. (40259371),Travis Etienne Jr.,40259371,RB/FLEX,5900,KC@JAX 10/06/2025 08:15PM ET,JAX,18.15
RB,Chuba Hubbard (40259424),Chuba Hubbard,40259424,RB/FLEX,5800,MIA@CAR 10/05/2025 01:00PM ET,CAR,14.02
QB,Daniel Jones (40259231),Daniel Jones,40259231,QB,5800,LV@IND 10/05/2025 01:00PM ET,IND,20.88
TE,Trey McBride (40259473),Trey McBride,40259473,TE/FLEX,5800,TEN@ARI 10/05/2025 04:05PM ET,ARI,13.35
