first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Luka,Doncic,PG,,,2024-01-03,,DAL,POR,-11.5,238.5,125,11500,21,50.5,71.9,97.5,65.5,5.70
Giannis,Antetokounmpo,PF,C,,2024-01-03,,MIL,IND,-3.5,257,130.3,11900,30,48.8,62.7,76.0,63.3,5.32
Shai,Gilgeous-Alexander,PG,,,2024-01-03,,OKC,ATL,-1,248,124.5,10500,27,38.0,55.3,65.3,57.2,5.45
Tyrese,Haliburton,PG,,,2024-01-03,,IND,MIL,+3.5,257,126.8,10200,29,58.8,63.4,70.3,56.1,5.50
Trae,Young,PG,,,2024-01-03,,ATL,OKC,+1,248,123.5,10300,16,45.0,57.0,70.3,55.6,5.40
Donovan,Mitchell,PG,SG,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,9500,30,51.5,54.7,61.0,54.2,5.71
Scottie,Barnes,PG,SF,,2024-01-03,,TOR,MEM,+1,227.5,113.3,9000,20,39.5,53.4,63.5,48.7,5.41
Anthony,Edwards,PG,SG,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,9100,5,43.8,51.4,61.8,47.5,5.22
Ja,Morant,PG,,,2024-01-03,,MEM,TOR,-1,227.5,114.3,9800,8,26.3,45.3,58.5,47.0,4.80
Devin,Booker,PG,SG,,2024-01-03,,PHO,LAC,+4,232,114,9400,9,30.5,41.3,54.0,46.5,4.95
Julius,Randle,PF,,,2024-01-03,,NY,CHI,-9,220.5,114.8,8900,23,38.3,47.5,63.0,46.5,5.22
Kawhi,Leonard,SF,PF,,2024-01-03,,LAC,PHO,-4,232,118,8400,24,33.5,48.0,57.3,45.0,5.36
Jalen,Brunson,PG,,,2024-01-03,,NY,CHI,-9,220.5,114.8,8900,2,40.3,45.3,54.5,44.3,4.97
James,Harden,PG,,,2024-01-03,,LAC,PHO,-4,232,118,8700,23,33.5,46.1,55.5,44.3,5.09
Cade,Cunningham,PG,,,2024-01-03,,DET,UTA,+8.5,240,115.8,8500,24,20.3,47.1,63.8,44.0,5.18
Jarrett,Allen,C,,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,7800,30,28.8,49.8,65.3,43.3,5.55
Alperen,Sengun,C,,,2024-01-03,,HOU,BKN,-5,220.5,112.8,8900,6,36.3,53.3,65.0,42.9,4.82
Kyrie,Irving,PG,SG,,2024-01-03,,DAL,POR,-11.5,238.5,125,8300,21,18.5,32.2,43.3,42.1,5.07
Lauri,Markkanen,SF,PF,,2024-01-03,,UTA,DET,-8.5,240,124.3,8100,19,24.3,42.3,56.3,41.5,5.12
Damian,Lillard,PG,,,2024-01-03,,MIL,IND,-3.5,257,130.3,8800,6,21.3,36.0,47.3,41.5,4.72
Andre,Drummond,C,,,2024-01-03,,CHI,NY,+9,220.5,105.8,8400,1,10.0,39.9,67.3,41.3,4.92
Chet,Holmgren,C,,,2024-01-03,,OKC,ATL,-1,248,124.5,8000,27,35.5,38.5,41.0,40.9,5.11
Pascal,Siakam,PF,C,,2024-01-03,,TOR,MEM,+1,227.5,113.3,8200,7,40.8,46.0,49.3,40.8,4.98
