Athlete,Draftkings Price,DK NBA Ownership Projection,Fanduel Price,FD NBA Ownership Projection
Mike Conley,"$5,800",6.20%,"$6,100",7.30%
Jeff Green,"$4,000",0.40%,"$3,900",0.40%
Russell Westbrook,"$6,000",0.50%,"$6,600",0.40%
Eric Gordon,"$5,500",0.40%,"$5,200",1.70%
Brook Lopez,"$6,000",12.90%,"$7,100",5.90%
James Harden,"$8,700",2.40%,"$9,300",2.20%
Demar Derozan,"$8,600",3.80%,"$8,500",8.90%
Paul George,"$8,300",2.40%,"$8,200",8.30%
Kyrie Irving,"$8,300",3.60%,"$8,300",15.10%
Tristan Thompson,"$3,200",10.40%,"$4,000",0.50%
Jonas Valanciunas,"$6,500",1.50%,"$7,300",0.90%
Bismack Biyombo,"$3,800",33.70%,"$4,400",18.30%
Alec Burks,"$4,300",17.30%,"$4,700",9.00%
Bojan Bogdanovic,"$6,300",17.50%,"$6,400",19.20%
Bradley Beal,"$6,900",12.90%,"$6,500",51.80%
Damian Lillard,"$8,800",6.10%,"$9,000",11.60%
Andre Drummond,"$8,400",4.70%,"$9,000",3.00%
Khris Middleton,"$7,300",12.60%,"$7,400",19.60%
CJ Mccollum,"$7,400",1.90%,"$8,000",1.90%
Dennis Schroder,"$6,000",2.50%,"$6,400",2.10%
Kelly Olynyk,"$5,200",0.50%,"$6,100",0.40%
Rudy Gobert,"$7,200",10.90%,"$8,100",5.10%
Tim Hardaway Jr,"$6,100",1.10%,"$6,400",1.40%
Giannis Antetokounmpo,"$11,900",6.40%,"$12,500",6.50%
Jordan Clarkson,"$6,000",17.00%,"$7,200",2.50%
Spencer Dinwiddie,"$6,900",2.90%,"$7,100",2.30%
Jerami Grant,"$7,300",6.30%,"$7,500",9.60%
Marcus Smart,"$6,200",1.70%,"$6,000",7.00%
Kyle Anderson,"$4,600",4.70%,"$4,900",5.70%
Dwight Powell,"$3,500",0.30%,"$4,000",0.30%
Julius Randle,"$8,900",8.50%,"$8,800",12.80%
Clint Capela,"$6,400",6.40%,"$7,600",1.50%
Bogdan Bogdanovic,"$6,600",3.00%,"$6,100",20.00%
Jusuf Nurkic,"$7,600",3.50%,"$7,800",6.10%
Vasilije Micic,"$3,000",0.30%,"$3,500",0.10%
Tyus Jones,"$6,100",6.40%,"$6,800",5.10%
Delon Wright,"$3,900",1.70%,"$4,800",0.50%
